cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
"Anti-Spell",2,53112492,"Common","M","Unlimited","Magician's Force","MFC-103"
"Apprentice Magician",2,9156135,"Rare","M","Unlimited","Magician's Force","MFC-066"
"Apprentice Magician",1,9156135,"Rare","M","1st Edition","Magician's Force","MFC-066"
"Appropriate",2,48539234,"Rare","M","Unlimited","Pharaoh's Servant","PSV-024"
"Aqua Madoor",4,85639257,"Rare","M","Unlimited","The Legend of Blue Eyes White Dragon","LOB-027"
"Aqua Spirit",4,40916023,"Common","M","Unlimited","Labyrinth of Nightmare","LON-068"
"Armor Exe",1,7180418,"Rare","M","Unlimited","Magician's Force","MFC-075"
"Armored Glass",1,36868108,"Common","M","Unlimited","Pharaoh's Servant","PSV-019"
"Armored Glass",1,36868108,"Common","M","1st Edition","Pharaoh's Servant","PSV-019"
"Armored Starfish",1,17535588,"Common","M","Unlimited","The Legend of Blue Eyes White Dragon","LOB-116"
"Armored Zombie",4,20277860,"Common","M","Unlimited","Metal Raiders","MRD-013"
"Armored Zombie",1,20277860,"Common","M","1st Edition","Metal Raiders","MRD-013"
"Arsenal Bug",3,42364374,"Common","M","Unlimited","Pharaonic Guardian","PGD-007"
"Asura Priest",1,2134346,"Super Rare","M","Unlimited","Legacy of Darkness","LOD-071"
"Attack and Receive",1,63689843,"Common","M","1st Edition","Pharaoh's Servant","PSV-054"
"Attack and Receive",6,63689843,"Common","M","Unlimited","Pharaoh's Servant","PSV-054"
"Autonomous Action Unit",1,71453557,"Common","M","1st Edition","Magician's Force","MFC-032"
"Autonomous Action Unit",1,71453557,"Common","M","Unlimited","Magician's Force","MFC-032"
"Baby Dragon",3,88819587,"Common","M","Unlimited","Metal Raiders","MRD-061"
"Backup Soldier",1,36280194,"Super Rare","M","1st Edition","Pharaoh's Servant","PSV-028"
"Bad Reaction to Simochi",3,40633297,"Common","M","Unlimited","Legacy of Darkness","LOD-093"
"Bait Doll",3,7165085,"Common","M","Unlimited","Labyrinth of Nightmare","LON-096"
"Banner of Courage",2,10012614,"Common","M","Unlimited","Pharaonic Guardian","PGD-089"
"Bark of Dark Ruler",3,41925941,"Common","M","Unlimited","Legacy of Darkness","LOD-010"
"Bark of Dark Ruler",1,41925941,"Common","M","1st Edition","Legacy of Darkness","LOD-010"
"Basic Insect",2,89091579,"Common","M","Unlimited","The Legend of Blue Eyes White Dragon","LOB-008"
"Battle Steer",1,18246479,"Common","M","Unlimited","Metal Raiders","MRD-064"
"Bazoo the Soul-Eater",1,40133511,"Super Rare","M","Unlimited","Labyrinth of Nightmare","LON-064"
"Beaver Warrior",1,32452818,"Common","M","Unlimited","The Legend of Blue Eyes White Dragon","LOB-064"
"Bickuribox",1,25655502,"Common","M","1st Edition","Metal Raiders","MRD-093"
"Bickuribox",1,25655502,"Common","M","Unlimited","Metal Raiders","MRD-093"
"Big Bang Shot",1,61127349,"Rare","M","Unlimited","Magician's Force","MFC-086"
"Bio-Mage",2,58696829,"Common","M","Unlimited","Labyrinth of Nightmare","LON-043"
"Bio-Mage",1,58696829,"Common","M","1st Edition","Labyrinth of Nightmare","LON-043"
"Birdface",2,45547649,"Common","M","Unlimited","Pharaonic Guardian","PGD-005"
"Bite Shoes",5,50122883,"Common","M","Unlimited","Pharaoh's Servant","PSV-080"
"Black Illusion Ritual",1,41426869,"Super Rare","M","Unlimited","Magic Ruler","MRL-051"
"Blackland Fire Dragon",2,87564352,"Common","M","Unlimited","Metal Raiders","MRD-062"
"Bladefly",1,28470714,"Rare","M","Unlimited","Metal Raiders","MRD-118"
"Blind Destruction",5,32015116,"Common","M","Unlimited","Labyrinth of Nightmare","LON-086"
"Flying Kamakiri #2",1,3134241,"Common","M","Unlimited","Pharaoh's Servant","PSV-048"
"Follow Wind",4,98252586,"Common","M","Unlimited","The Legend of Blue Eyes White Dragon","LOB-098"
"Forced Requisition",1,74923978,"Rare","M","1st Edition","Pharaoh's Servant","PSV-025"
"Forced Requisition",1,74923978,"Rare","M","Unlimited","Pharaoh's Servant","PSV-025"
"Forest",1,87430998,"Common","M","Unlimited","The Legend of Blue Eyes White Dragon","LOB-046"
"Formation Union",2,26931058,"Common","M","Unlimited","Magician's Force","MFC-049"
"Freezing Beast",3,85359414,"Common","M","Unlimited","Magician's Force","MFC-017"
"Frenzied Panda",3,98818516,"Common","M","Unlimited","The Legend of Blue Eyes White Dragon","LOB-081"
"Frontier Wiseman",6,38742075,"Common","M","Unlimited","Legacy of Darkness","LOD-022"
"Frontline Base",3,46181000,"Common","M","Unlimited","Magician's Force","MFC-028"
"Fushi No Tori",2,38538445,"Common","M","Unlimited","Legacy of Darkness","LOD-072"
"Fushi No Tori",1,38538445,"Common","M","1st Edition","Legacy of Darkness","LOD-072"
"Fusion Gate",1,33550694,"Common","M","1st Edition","Labyrinth of Nightmare","LON-098"
"Gadget Soldier",3,86281779,"Common","M","Unlimited","Labyrinth of Nightmare","LON-010"
"Gadget Soldier",1,86281779,"Common","M","1st Edition","Labyrinth of Nightmare","LON-010"
"Gaia Power",1,56594520,"Common","M","Unlimited","Magic Ruler","MRL-096"
"Gaia the Dragon Champion",1,66889139,"Secret Rare","M","Unlimited","The Legend of Blue Eyes White Dragon","LOB-125"
"Gamble",1,37313786,"Common","M","Unlimited","Pharaoh's Servant","PSV-053"
"Garuda the Wind Spirit",1,12800777,"Common","M","Unlimited","Labyrinth of Nightmare","LON-070"
"Gate Guardian",1,25833572,"Secret Rare","M","Unlimited","Metal Raiders","MRD-000"
"Gather Your Mind",3,7512044,"Common","M","Unlimited","Magician's Force","MFC-087"
"Gazelle the King of Mythical Beasts",2,5818798,"Common","M","1st Edition","Metal Raiders","MRD-124"
"Gearfried the Iron Knight",1,423705,"Super Rare","M","Unlimited","Pharaoh's Servant","PSV-101"
"Gearfried the Iron Knight",1,423705,"Super Rare","M","1st Edition","Pharaoh's Servant","PSV-101"
"Germ Infection",1,24668830,"Common","M","Unlimited","Metal Raiders","MRD-136"
"Giant Axe Mummy",4,78266168,"Common","M","Unlimited","Pharaonic Guardian","PGD-023"
"Giant Germ",3,95178994,"Rare","M","Unlimited","Magic Ruler","MRL-085"
"Giant Orc",3,73698349,"Common","M","Unlimited","Magician's Force","MFC-012"
"Giant Orc",1,73698349,"Common","M","1st Edition","Magician's Force","MFC-012"
"Giant Rat",1,97017120,"Rare","M","Unlimited","Magic Ruler","MRL-079"
"Giant Soldier of Stone",1,13039848,"Rare","M","Unlimited","The Legend of Blue Eyes White Dragon","LOB-068"
"Inaba White Rabbit",1,77084837,"Common","M","Unlimited","Legacy of Darkness","LOD-065"
"Infinite Dismissal",2,54109233,"Common","M","Unlimited","Pharaoh's Servant","PSV-072"
"Infinite Dismissal",1,54109233,"Common","M","1st Edition","Pharaoh's Servant","PSV-072"
"Injection Fairy Lily",1,79575620,"Secret Rare","M","Unlimited","Legacy of Darkness","LOD-100"
"Inpachi",3,97923414,"Common","M","Unlimited","Pharaonic Guardian","PGD-055"
"Insect Barrier",1,23615409,"Common","M","1st Edition","Pharaoh's Servant","PSV-102"
"Insect Barrier",2,23615409,"Common","M","Unlimited","Pharaoh's Servant","PSV-102"
"Insect Imitation",1,96965364,"Common","M","Unlimited","Pharaoh's Servant","PSV-068"
"Insect Soldiers of the Sky",1,7019529,"Common","M","1st Edition","Metal Raiders","MRD-101"
"Insect Soldiers of the Sky",3,7019529,"Common","M","Unlimited","Metal Raiders","MRD-101"
"Inspection",2,16227556,"Common","M","Unlimited","Pharaoh's Servant","PSV-038"
"Invitation to a Dark Sleep",2,52675689,"Common","M","Unlimited","Pharaoh's Servant","PSV-082"
"Island Turtle",1,4042268,"Common","M","1st Edition","Pharaoh's Servant","PSV-095"
"Jam Defender",2,21558682,"Common","M","Unlimited","Labyrinth of Nightmare","LON-028"
"Jar Robber",1,33784505,"Common","M","Unlimited","Magician's Force","MFC-091"
"Jellyfish",2,14851496,"Common","M","Unlimited","Metal Raiders","MRD-072"
"Jigen Bakudan",1,90020065,"Common","M","Unlimited","Magic Ruler","MRL-074"
"Jinzo #7",2,32809211,"Common","M","1st Edition","Metal Raiders","MRD-035"
"Jirai Gumo",3,94773007,"Common","M","Unlimited","Metal Raiders","MRD-089"
"Jowgen the Spiritualist",4,41855169,"Rare","M","Unlimited","Labyrinth of Nightmare","LON-061"
"Jowls of Dark Demise",1,5257687,"Rare","M","Unlimited","Pharaonic Guardian","PGD-009"
"Kabazauls",2,51934376,"Common","M","1st Edition","Pharaonic Guardian","PGD-054"
"Kabazauls",2,51934376,"Common","M","Unlimited","Pharaonic Guardian","PGD-054"
"Pineapple Blast",1,90669991,"Common","M","1st Edition","Magician's Force","MFC-045"
"Pineapple Blast",3,90669991,"Common","M","Unlimited","Magician's Force","MFC-045"
"Pitch-Black Power Stone",4,34029630,"Common","M","Unlimited","Magician's Force","MFC-095"
"Pitch-Dark Dragon",3,47415292,"Common","M","Unlimited","Magician's Force","MFC-008"
"Pitch-Dark Dragon",1,47415292,"Common","M","1st Edition","Magician's Force","MFC-008"
"Pixie Knight",2,35429292,"Common","M","Unlimited","Magician's Force","MFC-070"
"Poison Mummy",1,43716289,"Common","M","1st Edition","Pharaonic Guardian","PGD-016"
"Poison Mummy",2,43716289,"Common","M","Unlimited","Pharaonic Guardian","PGD-016"
"Poison of the Old Man",3,8842266,"Common","M","Unlimited","Magician's Force","MFC-033"
"Possessed Dark Soul",6,52860176,"Common","M","Unlimited","Legacy of Darkness","LOD-004"
"Pot of Greed",4,55144522,"Rare","M","Unlimited","The Legend of Blue Eyes White Dragon","LOB-119"
"Power of Kaishin",2,77027445,"Common","M","Unlimited","The Legend of Blue Eyes White Dragon","LOB-044"
"Prevent Rat",2,549481,"Common","M","Unlimited","Metal Raiders","MRD-084"
"Prevent Rat",1,549481,"Common","M","1st Edition","Metal Raiders","MRD-084"
"Princess of Tsurugi",1,51371017,"Rare","M","1st Edition","Metal Raiders","MRD-086"
"Prohibition",1,43711255,"Rare","M","Unlimited","Pharaoh's Servant","PSV-039"
"Protector of the Throne",2,10071456,"Common","M","Unlimited","Metal Raiders","MRD-087"
"Psychic Kappa",2,7892180,"Common","M","Unlimited","Magic Ruler","MRL-053"
"Pumpking the King of Ghosts",1,29155212,"Common","M","Unlimited","Metal Raiders","MRD-079"
"Punished Eagle",3,74703140,"Common","M","Unlimited","Metal Raiders","MRD-100"
"Punished Eagle",1,74703140,"Common","M","1st Edition","Metal Raiders","MRD-100"
"Pyramid Turtle",2,77044671,"Rare","M","Unlimited","Pharaonic Guardian","PGD-026"
"Pyro Clock of Destiny",1,1082946,"Common","M","1st Edition","Pharaonic Guardian","PGD-050"
"Pyro Clock of Destiny",3,1082946,"Common","M","Unlimited","Pharaonic Guardian","PGD-050"
"Queen Bird",1,73081602,"Common","M","1st Edition","Magic Ruler","MRL-009"
"Queen Bird",3,73081602,"Common","M","Unlimited","Magic Ruler","MRL-009"
"Queen's Double",1,5901497,"Common","M","Unlimited","Metal Raiders","MRD-051"
"Rabid Horseman",1,94905343,"Common","M","1st Edition","Metal Raiders","MRD-077"
"Rabid Horseman",1,94905343,"Common","M","Unlimited","Metal Raiders","MRD-077"
"Raigeki",2,12580477,"Super Rare","M","Unlimited","The Legend of Blue Eyes White Dragon","LOB-053"
"Raigeki Break",1,4178474,"Common","M","Unlimited","Pharaonic Guardian","PGD-096"
